title	url	year	keyword	anthology_id
Dimensional Modeling of Emotions in Text with Appraisal Theories: Corpus Creation, Annotation Reliability, and Prediction	https://aclanthology.org/2023.cl-1.1	2023	emotion analysis	2023.cl-1.1
{D}ual{GAT}s: Dual Graph Attention Networks for Emotion Recognition in Conversations	https://aclanthology.org/2023.acl-long.408	2023	emotion recognition	2023.acl-long.408
Emotion Analysis from Texts	https://aclanthology.org/2023.eacl-tutorials.2	2023	emotion analysis	2023.eacl-tutorials.2
Emotion Recognition based on Psychological Components in Guided Narratives for Emotion Regulation	https://aclanthology.org/2023.latechclfl-1.8	2023	emotion recognition	2023.latechclfl-1.8
Supervised Adversarial Contrastive Learning for Emotion Recognition in Conversations	https://aclanthology.org/2023.acl-long.606	2023	emotion recognition	2023.acl-long.606
A Cross-Modality Context Fusion and Semantic Refinement Network for Emotion Recognition in Conversation	https://aclanthology.org/2023.acl-long.732	2023	emotion recognition	2023.acl-long.732
Context or Knowledge is Not Always Necessary: A Contrastive Learning Framework for Emotion Recognition in Conversations	https://aclanthology.org/2023.findings-acl.883	2023	emotion recognition	2023.findings-acl.883
Empathetic Dialogue Generation via Sensitive Emotion Recognition and Sensible Knowledge Selection	https://aclanthology.org/2022.findings-emnlp.340	2022	emotion recognition	2022.findings-emnlp.340
Efficient Nearest Neighbor Emotion Classification with {BERT}-whitening	https://aclanthology.org/2022.emnlp-main.312	2022	emotion classification	2022.emnlp-main.312
{COGMEN}: {CO}ntextualized {GNN} based Multimodal Emotion recognitio{N}	https://aclanthology.org/2022.naacl-main.306	2022	emotion recognition	2022.naacl-main.306
A Sentiment and Emotion Annotated Dataset for Bitcoin Price Forecasting Based on {R}eddit Posts	https://aclanthology.org/2022.finnlp-1.27	2022	emotion recognition	2022.finnlp-1.27
Building a Dialogue Corpus Annotated with Expressed and Experienced Emotions	https://aclanthology.org/2022.acl-srw.3	2022	emotion recognition	2022.acl-srw.3
{M}3{ED}: Multi-modal Multi-scene Multi-label Emotional Dialogue Database	https://aclanthology.org/2022.acl-long.391	2022	emotion recognition	2022.acl-long.391
Emotion analysis and detection during {COVID}-19	https://aclanthology.org/2022.lrec-1.750	2022	emotion prediction	2022.lrec-1.750
Cross-lingual Emotion Detection	https://aclanthology.org/2022.lrec-1.751	2022	emotion detection	2022.lrec-1.751
{E}mo{WOZ}: A Large-Scale Corpus and Labelling Scheme for Emotion Recognition in Task-Oriented Dialogue Systems	https://aclanthology.org/2022.lrec-1.436	2022	emotion recognition	2022.lrec-1.436
{U}ni{MSE}: Towards Unified Multimodal Sentiment Analysis and Emotion Recognition	https://aclanthology.org/2022.emnlp-main.534	2022	emotion recognition	2022.emnlp-main.534
{C}o{MPM}: Context Modeling with Speaker{'}s Pre-trained Memory Tracking for Emotion Recognition in Conversation	https://aclanthology.org/2022.naacl-main.416	2022	emotion recognition	2022.naacl-main.416
{E}mo{C}aps: Emotion Capsule based Model for Conversational Emotion Recognition	https://aclanthology.org/2022.findings-acl.126	2022	emotion recognition	2022.findings-acl.126
Identifying Emotions in Code Mixed {H}indi-{E}nglish Tweets	https://aclanthology.org/2022.wildre-1.7	2022	emotion detection	2022.wildre-1.7
Uncovering Values: Detecting Latent Moral Content from Natural Language with Explainable and Non-Trained Methods	https://aclanthology.org/2022.deelio-1.4	2022	emotion detection	2022.deelio-1.4
{COMMA}-{DEER}: {CO}mmon-sense Aware Multimodal Multitask Approach for Detection of Emotion and Emotional Reasoning in Conversations	https://aclanthology.org/2022.coling-1.608	2022	emotion detection	2022.coling-1.608
{D}ialogue{EIN}: Emotion Interaction Network for Dialogue Affective Analysis	https://aclanthology.org/2022.coling-1.57	2022	emotion recognition	2022.coling-1.57
A Multimodal Corpus for Emotion Recognition in Sarcasm	https://aclanthology.org/2022.lrec-1.756	2022	emotion recognition	2022.lrec-1.756
{J}udith{J}eyafreeda{A}ndrew@{T}amil{NLP}-{ACL}2022:{CNN} for Emotion Analysis in {T}amil	https://aclanthology.org/2022.dravidianlangtech-1.9	2022	emotion recognition	2022.dravidianlangtech-1.9
Why Do You Feel This Way? Summarizing Triggers of Emotions in Social Media Posts	https://aclanthology.org/2022.emnlp-main.642	2022	emotion detection	2022.emnlp-main.642
{S}wah{BERT}: Language Model of {S}wahili	https://aclanthology.org/2022.naacl-main.23	2022	emotion classification	2022.naacl-main.23
Supervised Prototypical Contrastive Learning for Emotion Recognition in Conversation	https://aclanthology.org/2022.emnlp-main.347	2022	emotion recognition	2022.emnlp-main.347
{APPR}eddit: a Corpus of {R}eddit Posts Annotated for Appraisal	https://aclanthology.org/2022.lrec-1.406	2022	emotion recognition	2022.lrec-1.406
{S}+{PAGE}: A Speaker and Position-Aware Graph Neural Network Model for Emotion Recognition in Conversation	https://aclanthology.org/2022.aacl-main.12	2022	emotion recognition	2022.aacl-main.12
Ethics Sheet for Automatic Emotion Recognition and Sentiment Analysis	https://aclanthology.org/2022.cl-2.1	2022	emotion recognition	2022.cl-2.1
{RED} v2: Enhancing {RED} Dataset for Multi-Label Emotion Detection	https://aclanthology.org/2022.lrec-1.149	2022	emotion detection	2022.lrec-1.149
A Study on the Ambiguity in Human Annotation of {G}erman Oral History Interviews for Perceived Emotion Recognition and Sentiment Analysis	https://aclanthology.org/2022.lrec-1.217	2022	emotion recognition	2022.lrec-1.217
